Name,Address,Zip,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,AveragePrice,state_id,state_name,region,General_Category
Lazy Bear,"3416 19th St., San Francisco, 94110, United States",94110,San Francisco,199.0,221.0,USD,"Contemporary, Modern Cuisine",-122.41969,37.760204,-9380,https://guide.michelin.com/en/california/san-francisco/restaurant/lazy-bear,https://www.lazybearsf.com/,2 MICHELIN Stars,210.0,CA,California,West,Contemporary
Birdsong,"1085 Mission St., San Francisco, 94103, United States",94103,San Francisco,255.0,255.0,USD,"Contemporary, American",-122.41048,37.779495,-8115,https://guide.michelin.com/en/california/san-francisco/restaurant/birdsong,https://www.birdsongsf.com/,2 MICHELIN Stars,255.0,CA,California,West,Contemporary
Saison,"178 Townsend St., San Francisco, 94107, United States",94107,San Francisco,248.0,306.0,USD,"Californian, Contemporary",-122.41543,37.76327,-7403,https://guide.michelin.com/en/california/san-francisco/restaurant/saison,https://www.saisonsf.com/,2 MICHELIN Stars,277.0,CA,California,West,Californian
Campton Place,"340 Stockton St., San Francisco, 94108, United States",94108,San Francisco,65.0,167.0,USD,"Indian, Contemporary",-122.40665,37.78923,-4919,https://guide.michelin.com/en/california/san-francisco/restaurant/campton-place,https://www.tajcamptonplace.com/,2 MICHELIN Stars,116.0,CA,California,West,Indian
Acquerello,"1722 Sacramento St., San Francisco, 94109, United States",94109,San Francisco,150.0,250.0,USD,"Italian, Contemporary",-122.42131,37.79167,-4584,https://guide.michelin.com/en/california/san-francisco/restaurant/acquerello,https://www.acquerellosf.com/,2 MICHELIN Stars,200.0,CA,California,West,Italian
Coi,"373 Broadway, San Francisco, 94133, United States",94133,San Francisco,250.0,250.0,USD,"Contemporary, Californian",-122.4033677,37.7981895,-7978,https://guide.michelin.com/en/california/san-francisco/restaurant/coi,https://www.coirestaurant.com/,2 MICHELIN Stars,250.0,CA,California,West,Contemporary
Californios,"355 11th St., San Francisco, 94103, United States",94103,San Francisco,223.0,223.0,USD,"Mexican, Contemporary",-122.4131414,37.7712406,-336,https://guide.michelin.com/en/california/san-francisco/restaurant/californios,https://www.californiossf.com/,2 MICHELIN Stars,223.0,CA,California,West,Mexican
The Modern,"9 W. 53rd St., New York, 10019, United States",10019,New York,138.0,188.0,USD,Contemporary,-73.97628,40.76106,-341,https://guide.michelin.com/en/new-york-state/new-york/restaurant/the-modern,https://www.themodernnyc.com/,2 MICHELIN Stars,163.0,NY,New York,Northeast,Contemporary
Ko,"8 Extra Pl., New York, 10003, United States",10003,New York,225.0,225.0,USD,Contemporary,-73.9916056,40.7246476,-119,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ko,https://www.momofuku.com/,2 MICHELIN Stars,225.0,NY,New York,Northeast,Contemporary
Atomix,"104 E. 30th St., New York, 10016, United States",10016,New York,36.0,325.0,USD,"Korean, Contemporary",-73.9826751,40.7443058,https://www.atomixnyc.com/,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atomix,https://www.atomixnyc.com/,2 MICHELIN Stars,180.5,NY,New York,Northeast,Korean
Atera,"77 Worth St., New York, 10013, United States",10013,New York,285.0,285.0,USD,Contemporary,-74.0055912,40.7168498,-458,https://guide.michelin.com/en/new-york-state/new-york/restaurant/atera,http://www.ateranyc.com/,2 MICHELIN Stars,285.0,NY,New York,Northeast,Contemporary
Jean-Georges,"1 Central Park West, New York, 10023, United States",10023,New York,148.0,248.0,USD,"Contemporary, French Contemporary",-73.98155,40.76907,-2987,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jean-georges,https://www.jean-georgesrestaurant.com/,2 MICHELIN Stars,198.0,NY,New York,Northeast,Contemporary
Blanca,"261 Moore St., New York, 11206, United States",11206,New York,198.0,198.0,USD,Contemporary,-73.9336873,40.7049906,-2259,https://guide.michelin.com/en/new-york-state/new-york/restaurant/blanca,https://www.blancanyc.com/,2 MICHELIN Stars,198.0,NY,New York,Northeast,Contemporary
Jungsik,"2 Harrison St., New York, 10013, United States",10013,New York,165.0,235.0,USD,"Korean, Contemporary",-74.00911,40.718685,93,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik,https://www.jungsik.com/,2 MICHELIN Stars,200.0,NY,New York,Northeast,Korean
Gabriel Kreuther,"41 W. 42nd St., New York, 10036, United States",10036,New York,90.0,245.0,USD,"Contemporary, Alsatian",-73.982025,40.75397,-4871,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gabriel-kreuther,https://www.gknyc.com/,2 MICHELIN Stars,167.5,NY,New York,Northeast,Contemporary
Aska,"47 S. 5th St., New York, 11249, United States",11249,New York,295.0,295.0,USD,"Scandinavian, Contemporary",-73.9669769,40.7125069,-5200,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aska,https://www.askanyc.com/,2 MICHELIN Stars,295.0,NY,New York,Northeast,Scandinavian
L'Atelier de Joël Robuchon,"85 Tenth Ave., New York, 10011, United States",10011,New York,145.0,235.0,USD,French,-74.0077138,40.7428946,-8161,https://guide.michelin.com/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505,https://latelier-newyork.com/,2 MICHELIN Stars,190.0,NY,New York,Northeast,French
Daniel,"60 E. 65th St., New York, 10065, United States",10065,New York,158.0,250.0,USD,French,-73.9675039,40.7667521,891,https://guide.michelin.com/en/new-york-state/new-york/restaurant/daniel,https://www.danielnyc.com/,2 MICHELIN Stars,204.0,NY,New York,Northeast,French
Aquavit,"65 E. 55th St., New York, 10022, United States",10022,New York,78.0,155.0,USD,"Scandinavian, Contemporary",-73.97214,40.76078,-6406,https://guide.michelin.com/en/new-york-state/new-york/restaurant/aquavit,https://www.aquavit.org/,2 MICHELIN Stars,116.5,NY,New York,Northeast,Scandinavian
Oriole,"661 W. Walnut St., Chicago, 60661, United States",60661,Chicago,285.0,285.0,USD,"Contemporary, American Contemporary",-87.64513,41.886196,-4904,https://guide.michelin.com/en/illinois/chicago/restaurant/oriole,https://www.oriolechicago.com/,2 MICHELIN Stars,285.0,IL,Illinois,Midwest,Contemporary
Smyth,"177 N. Ada St., Chicago, 60607, United States",60607,Chicago,265.0,265.0,USD,"Contemporary, Modern Cuisine",-87.6609432,41.8850391,-2913,https://guide.michelin.com/en/illinois/chicago/restaurant/smyth,https://www.smythandtheloyalist.com/,2 MICHELIN Stars,265.0,IL,Illinois,Midwest,Contemporary
Ever,"1340 W. Fulton Market, Chicago, 60607, United States",60607,Chicago,285.0,285.0,USD,"Contemporary, Modern Cuisine",-87.6595739,41.8867166,https://www.ever-restaurant.com/,https://guide.michelin.com/en/illinois/chicago/restaurant/ever,https://www.ever-restaurant.com/,2 MICHELIN Stars,285.0,IL,Illinois,Midwest,Contemporary
Moody Tongue,"2515 S. Wabash Ave., Chicago, 60616, United States",60616,Chicago,285.0,330.0,USD,"Contemporary, American Contemporary",-87.6252282,41.8469648,-4399,https://guide.michelin.com/en/illinois/chicago/restaurant/moody-tongue,https://www.moodytongue.com/,2 MICHELIN Stars,307.5,IL,Illinois,Midwest,Contemporary
Jônt,"1906 14th St. NW, Washington, 20009, United States",20009,Washington,305.0,305.0,USD,Contemporary,-77.0321498,38.9158847,-7242,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/jont,https://www.jontdc.com/,2 MICHELIN Stars,305.0,DC,District of Columbia,South,Contemporary
Pineapple and Pearls,"715 8th St. SE, Washington, 20003, United States",20003,Washington,150.0,325.0,USD,Contemporary,-76.99514,38.880707,-6768,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/pineapple-and-pearls,https://www.pineappleandpearls.com/,2 MICHELIN Stars,237.5,DC,District of Columbia,South,Contemporary
minibar,"855 E St. NW, Washington, 20004, United States",20004,Washington,295.0,295.0,USD,Contemporary,-77.02386,38.896294,-3,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/minibar,https://www.minibarbyjoseandres.com/,2 MICHELIN Stars,295.0,DC,District of Columbia,South,Contemporary
Selby's,"3001 El Camino Real, Atherton, 94061, United States",94061,Atherton,85.0,85.0,USD,"American, Classic Cuisine",-122.2104559,37.4685638,-6596,https://guide.michelin.com/en/california/atherton/restaurant/selby-s,https://www.selbysrestaurant.com/,1 MICHELIN Star,85.0,CA,California,West,American
Rasa,"209 Park Rd., Burlingame, 94010, United States",94010,Burlingame,88.0,88.0,USD,"Indian, Contemporary",-122.3459541,37.5775393,-5962,https://guide.michelin.com/en/california/burlingame/restaurant/rasa,https://www.rasaindian.com/,1 MICHELIN Star,88.0,CA,California,West,Indian
The Village Pub,"2967 Woodside Rd., Woodside, 94062, United States",94062,Woodside,45.0,89.0,USD,"Contemporary, American Contemporary",-122.25178,37.42897,-9089,https://guide.michelin.com/en/california/woodside/restaurant/the-village-pub,https://www.thevillagepub.net/,1 MICHELIN Star,67.0,CA,California,West,Contemporary
Pasta | Bar,"16101 Ventura Blvd., Ste.250, Encino, 91436, United States",16101,Encino,165.0,165.0,USD,"Contemporary, American",-118.483862,34.1567212,-4913,https://guide.michelin.com/en/california/encino/restaurant/pasta-bar,https://www.pastabarencino.com/,1 MICHELIN Star,165.0,PA,Pennsylvania,Northeast,Contemporary
Adega,"1614 Alum Rock Ave., San Jose, 95116, United States",95116,San Jose,199.0,199.0,USD,"Portuguese, Californian",-121.85845,37.35131,-8593,https://guide.michelin.com/en/california/san-jose/restaurant/adega,https://www.adegarest.com/,1 MICHELIN Star,199.0,CA,California,West,Portuguese
Kenzo,"1339 Pearl St., Napa, 94559, United States",94559,Napa,210.0,210.0,USD,Japanese,-122.28928,38.29924,-636,https://guide.michelin.com/en/california/napa/restaurant/kenzo,https://www.kenzonapa.com/,1 MICHELIN Star,210.0,CA,California,West,Japanese
La Toque,"1314 McKinstry St., Napa, 94559, United States",94559,Napa,95.0,225.0,USD,Contemporary,-122.28349,38.30351,-3707,https://guide.michelin.com/en/california/napa/restaurant/la-toque,https://www.latoque.com/,1 MICHELIN Star,160.0,CA,California,West,Contemporary
Sushi Shin,"312 Arguello St., Redwood City, 94063, United States",94063,Redwood City,200.0,200.0,USD,"Japanese, Sushi",-122.2323102,37.4871305,-6465,https://guide.michelin.com/en/california/redwood-city/restaurant/sushi-shin-1195403,https://www.sushishinredwoodcity.com/,1 MICHELIN Star,200.0,CA,California,West,Japanese
Chez TJ,"938 Villa St., Mountain View, 94041, United States",94041,Mountain View,225.0,225.0,USD,"Contemporary, American",-122.08044,37.39468,-6780,https://guide.michelin.com/en/california/mountain-view/restaurant/chez-tj,https://www.cheztj.com/,1 MICHELIN Star,225.0,CA,California,West,Contemporary
Kali,"5722 Melrose Ave., Hollywood, 90038, United States",90038,Hollywood,115.0,190.0,USD,"Californian, Market Cuisine",-118.3245399,34.0834565,-3708,https://guide.michelin.com/en/california/hollywood/restaurant/kali,https://www.kalirestaurant.com/,1 MICHELIN Star,152.5,CA,California,West,Californian
Six Test Kitchen,"3075 Blue Rock Rd., Paso Robles, 93446, United States",93446,Paso Robles,155.0,185.0,USD,Contemporary,-120.6898229,35.5757084,sixtestkitchen.com,https://guide.michelin.com/en/california/paso-robles/restaurant/six-test-kitchen,http://sixtestkitchen.com,1 MICHELIN Star,170.0,CA,California,West,Contemporary
Madcap,"198 Sir Francis Drake Blvd., San Anselmo, 94960, United States",94960,San Anselmo,110.0,110.0,USD,"Contemporary, Japanese Contemporary",-122.56168,37.974712,-8936,https://guide.michelin.com/en/california/san-anselmo/restaurant/madcap,https://www.madcapmarin.com/,1 MICHELIN Star,110.0,CA,California,West,Contemporary
Sushi I-NABA,"1300 Highland Ave., Manhattan Beach, 90266, United States",90266,Manhattan Beach,50.0,220.0,USD,"Japanese, Sushi",-118.4103953,33.8865097,-2580,https://guide.michelin.com/en/california/manhattan-beach/restaurant/sushi-i-naba,,1 MICHELIN Star,135.0,CA,California,West,Japanese
Bistro Na’s,"9055 Las Tunas Dr., Ste. 105, Temple City, 91780, United States",91780,Temple City,50.0,300.0,USD,"Chinese, Beijing Cuisine",-118.0712093,34.1048803,-659,https://guide.michelin.com/en/california/temple-city/restaurant/bistro-na%E2%80%99s,https://www.bistronas.com/,1 MICHELIN Star,175.0,CA,California,West,Chinese
Jeune et Jolie,"2659 State St., Carlsbad, 92008, United States",92008,Carlsbad,74.0,90.0,USD,"French, Contemporary",-117.3516968,33.1631027,-4143,https://guide.michelin.com/en/california/carlsbad/restaurant/jeune-et-jolie,http://www.jeune-jolie.com,1 MICHELIN Star,82.0,CA,California,West,French
Sushi Yoshizumi,"325 E. 4th Ave., San Mateo, 94401, United States",94401,San Mateo,285.0,285.0,USD,"Japanese, Sushi",-122.3211,37.565075,-1069,https://guide.michelin.com/en/california/san-mateo/restaurant/sushi-yoshizumi,https://www.sushiyoshizumi.com/,1 MICHELIN Star,285.0,CA,California,West,Japanese
Wakuriya,"115 De Anza Blvd., San Mateo, 94402, United States",94402,San Mateo,148.0,148.0,USD,"Japanese, Contemporary",-122.3366,37.52114,954,https://guide.michelin.com/en/california/san-mateo/restaurant/wakuriya,https://www.wakuriya.com/,1 MICHELIN Star,148.0,CA,California,West,Japanese
Soichi,"2121 Adams Ave., San Diego, 92116, United States",92116,San Diego,65.0,135.0,USD,"Japanese, Sushi",-117.1418816,32.7627776,-1278,https://guide.michelin.com/en/california/us-san-diego/restaurant/soichi,https://www.soichisushi.com/,1 MICHELIN Star,100.0,CA,California,West,Japanese
Sushi Tadokoro,"2244 San Diego Ave., San Diego, 92110, United States",92110,San Diego,37.0,120.0,USD,"Japanese, Sushi",-117.1913167,32.7483809,1024,https://guide.michelin.com/en/california/us-san-diego/restaurant/sushi-tadokoro,https://www.sushitadokoro.com/,1 MICHELIN Star,78.5,CA,California,West,Japanese
Sushi | Bar Montecito,"1295 Coast Village Rd., Santa Barbara, 93108, United States",93108,Santa Barbara,145.0,145.0,USD,"Japanese, Sushi",-119.6400634,34.4214368,-8350,https://guide.michelin.com/en/california/santa-barbara/restaurant/sushi-bar-montecito,https://www.sushibarmontecito.com/,1 MICHELIN Star,145.0,CA,California,West,Japanese
Maude,"212 S. Beverly Dr., Beverly Hills, 90212, United States",90212,Beverly Hills,150.0,150.0,USD,"Contemporary, European Contemporary",-118.39904,34.064346,-2967,https://guide.michelin.com/en/california/beverly-hills/restaurant/maude,https://www.mauderestaurant.com/,1 MICHELIN Star,150.0,CA,California,West,Contemporary
CUT,"9500 Wilshire Blvd., Beverly Hills, 90212, United States",90212,Beverly Hills,250.0,250.0,USD,"Steakhouse, American",-118.401024,34.067036,-7466,https://guide.michelin.com/en/california/beverly-hills/restaurant/cut-559418,https://www.wolfgangpuck.com/,1 MICHELIN Star,250.0,CA,California,West,Steakhouse
Nozawa Bar,"212 N. Cañon Dr., Beverly Hills, 90210, United States",90210,Beverly Hills,195.0,195.0,USD,"Japanese, Sushi",-118.398404,34.0683345,-4950,https://guide.michelin.com/en/california/beverly-hills/restaurant/nozawa-bar,https://www.nozawabar.com/,1 MICHELIN Star,195.0,CA,California,West,Japanese
Gucci Osteria da Massimo Bottura,"347 N. Rodeo Dr., Beverly Hills, 90210, United States",90210,Beverly Hills,130.0,195.0,USD,"Italian, Contemporary",-118.4024313,34.0683993,-6666,https://guide.michelin.com/en/california/beverly-hills/restaurant/gucci-osteria-da-massimo-bottura-1190961,https://www.gucci.com/us/en/store/osteria-bottura-beverly-hills/,1 MICHELIN Star,162.5,CA,California,West,Italian
Pasjoli,"2732 Main St., Santa Monica, 90405, United States",90405,Santa Monica,200.0,200.0,USD,"French, Contemporary",-118.4821085,34.0005122,1074,https://guide.michelin.com/en/california/santa-monica/restaurant/pasjoli,https://www.pasjoli.com/,1 MICHELIN Star,200.0,CA,California,West,French
Rustic Canyon,"1119 Wilshire Blvd., Santa Monica, 90401, United States",90401,Santa Monica,97.0,97.0,USD,Californian,-118.49118,34.024952,-6133,https://guide.michelin.com/en/california/santa-monica/restaurant/rustic-canyon,http://www.rusticcanyonrestaurant.com,1 MICHELIN Star,97.0,CA,California,West,Californian
Aubergine,"Monte Verde at 7th Ave., Carmel-by-the-Sea, 93921, United States",93921,Carmel-by-the-Sea,205.0,205.0,USD,"Contemporary, Californian",-121.924355,36.55406,-7371,https://guide.michelin.com/en/california/carmel-by-the-sea/restaurant/aubergine,https://www.auberginecarmel.com/,1 MICHELIN Star,205.0,CA,California,West,Contemporary
Madera,"2825 Sand Hill Rd., Menlo Park, 94025, United States",94025,Menlo Park,78.0,129.0,USD,Contemporary,-122.21151,37.42014,-451,https://guide.michelin.com/en/california/menlo-park/restaurant/madera,https://www.maderasandhill.com/,1 MICHELIN Star,103.5,CA,California,West,Contemporary
Orsa & Winston,"122 W. 4th St., Los Angeles, 90013, United States",90013,Los Angeles,125.0,125.0,USD,"Contemporary, Asian",-118.2479493,34.0484698,226,https://guide.michelin.com/en/california/us-los-angeles/restaurant/orsa-winston,https://www.orsaandwinston.com/,1 MICHELIN Star,125.0,CA,California,West,Contemporary
Q Sushi,"521 W. 7th St., Los Angeles, 90014, United States",90014,Los Angeles,150.0,300.0,USD,"Japanese, Sushi",-118.255844,34.046883,-5297,https://guide.michelin.com/en/california/us-los-angeles/restaurant/q-sushi,http://www.qsushila.com/,1 MICHELIN Star,225.0,CA,California,West,Japanese
Osteria Mozza,"6602 Melrose Ave., Los Angeles, 90038, United States",90038,Los Angeles,115.0,115.0,USD,Italian,-118.3386857,34.0834246,926,https://guide.michelin.com/en/california/us-los-angeles/restaurant/osteria-mozza,https://la.osteriamozza.com/,1 MICHELIN Star,115.0,CA,California,West,Italian
Phenakite,"1370 N. St. Andrews Pl., Los Angeles, 90028, United States",90028,Los Angeles,158.0,158.0,USD,"Asian, Contemporary",-118.3108658,34.0967156,-7630,https://guide.michelin.com/en/california/us-los-angeles/restaurant/phenakite,https://www.porridgeandpuffs.com/phenakite,1 MICHELIN Star,158.0,CA,California,West,Asian
Shibumi,"815 S. Hill St., Los Angeles, 90014, United States",90014,Los Angeles,95.0,195.0,USD,"Japanese, Traditional Cuisine",-118.256134,34.044155,-8076,https://guide.michelin.com/en/california/us-los-angeles/restaurant/shibumi-559644,https://www.shibumidtla.com/,1 MICHELIN Star,145.0,CA,California,West,Japanese
Morihiro,"3133 Glendale Blvd., Los Angeles, 90039, United States",90039,Los Angeles,100.0,300.0,USD,"Japanese, Sushi",-118.2625547,34.1166298,-3192,https://guide.michelin.com/en/california/us-los-angeles/restaurant/morihiro,https://morionodera.com/,1 MICHELIN Star,200.0,CA,California,West,Japanese
Le Comptoir,"3606 W. 6th St., Los Angeles, 90020, United States",90020,Los Angeles,175.0,175.0,USD,"Californian, Vegetarian",-118.300451,34.0634658,173,https://guide.michelin.com/en/california/us-los-angeles/restaurant/le-comptoir,https://www.lecomptoirla.com/,1 MICHELIN Star,175.0,CA,California,West,Californian
State Bird Provisions,"1529 Fillmore St., San Francisco, 94115, United States",94115,San Francisco,90.0,90.0,USD,Californian,-122.43283,37.783737,-652,https://guide.michelin.com/en/california/san-francisco/restaurant/state-bird-provisions,https://www.statebirdsf.com/,1 MICHELIN Star,90.0,CA,California,West,Californian
The Progress,"1525 Fillmore St., San Francisco, 94115, United States",94115,San Francisco,78.0,78.0,USD,Californian,-122.43282,37.78371,-552,https://guide.michelin.com/en/california/san-francisco/restaurant/the-progress,https://www.theprogress-sf.com/,1 MICHELIN Star,78.0,CA,California,West,Californian
Sons & Daughters,"708 Bush St., San Francisco, 94108, United States",94108,San Francisco,225.0,225.0,USD,Contemporary,-122.4091443,37.7902661,-7287,https://guide.michelin.com/en/california/san-francisco/restaurant/sons-daughters,https://www.sonsanddaughterssf.com/,1 MICHELIN Star,225.0,CA,California,West,Contemporary
Wako,"211 Clement St., San Francisco, 94118, United States",94118,San Francisco,95.0,135.0,USD,"Japanese, Sushi",-122.4615303,37.7830681,-4142,https://guide.michelin.com/en/california/san-francisco/restaurant/wako,https://www.sushiwakosf.com/,1 MICHELIN Star,115.0,CA,California,West,Japanese
jū-ni,"1335 Fulton St., San Francisco, 94117, United States",94117,San Francisco,165.0,165.0,USD,"Japanese, Sushi",-122.43886,37.77672,-9164,https://guide.michelin.com/en/california/san-francisco/restaurant/ju-ni,https://www.junisf.com/,1 MICHELIN Star,165.0,CA,California,West,Japanese
Mister Jiu’s,"28 Waverly Pl., San Francisco, 94108, United States",94108,San Francisco,75.0,75.0,USD,"Chinese, Contemporary",-122.406654,37.79371,-9130,https://guide.michelin.com/en/california/san-francisco/restaurant/mister-jiu%E2%80%99s,https://www.misterjius.com/,1 MICHELIN Star,75.0,CA,California,West,Chinese
Al's Place,"1499 Valencia St., San Francisco, 94110, United States",94110,San Francisco,83.0,88.0,USD,"Californian, Contemporary",-122.42013,37.748924,-5137,https://guide.michelin.com/en/california/san-francisco/restaurant/al-s-place,https://www.alsplacesf.com/,1 MICHELIN Star,85.5,CA,California,West,Californian
Sorrel,"3228 Sacramento St., San Francisco, 94115, United States",94115,San Francisco,110.0,148.0,USD,"Italian, Californian",-122.44614,37.788334,-2875,https://guide.michelin.com/en/california/san-francisco/restaurant/sorrel,https://www.sorrelrestaurant.com/,1 MICHELIN Star,129.0,CA,California,West,Italian
Omakase,"665 Townsend St., San Francisco, 94103, United States",94103,San Francisco,150.0,150.0,USD,"Japanese, Sushi",-122.40298,37.77077,-83,https://guide.michelin.com/en/california/san-francisco/restaurant/omakase,https://www.omakasesf.com/,1 MICHELIN Star,150.0,CA,California,West,Japanese
Niku Steakhouse,"61 Division St., San Francisco, 94103, United States",94103,San Francisco,402.0,402.0,USD,Steakhouse,-122.4036208,37.7697497,-7231,https://guide.michelin.com/en/california/san-francisco/restaurant/niku-steakhouse,http://www.nikusteakhouse.com,1 MICHELIN Star,402.0,CA,California,West,Steakhouse
O' by Claude Le Tohic,"165 O'Farrell St., San Francisco, 94102, United States",94102,San Francisco,175.0,250.0,USD,"French, Contemporary",-122.4074317,37.7863767,-8287,https://guide.michelin.com/en/california/san-francisco/restaurant/o-by-claude-le-tohic,http://www.one65sf.com,1 MICHELIN Star,212.5,CA,California,West,French
